Art des Termins;Außer Haus;Beginn;Benachrichtigung überspringen;Betreff;Dauer;Ende;Erzeugt am;Ganztägiges Ereignis;Geändert am;Ist ohne Veranstaltung;Kategorie;Klassifikation;Notizen;Ort;Titel;Titel;Typ;GGUID
;false;14.04.2026 13:30;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,06250000;14.04.2026 15:00;07.04.2026 10:47:36;false;07.04.2026 10:47:36;false;;;;H-2.57-58;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;C04AFB7BD6B83D68AE8680BC61847ADF
;false;08.05.2026 10:00;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,29166667;08.05.2026 17:00;09.04.2026 10:02:14;false;09.04.2026 10:02:14;false;;;;D-E.9-10;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;F4D12D1891E53C988AF624285E5BFAA5
;false;15.05.2026 10:00;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,29166667;15.05.2026 17:00;09.04.2026 10:02:14;false;09.04.2026 10:02:14;false;;;Übung;D-E.9-10;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;CE2E749846F336219E5DBA10398810EB
;false;22.05.2026 10:00;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,29166667;22.05.2026 17:00;09.04.2026 10:02:14;false;09.04.2026 10:02:14;false;;;;D-E.9-10;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;8276495EE8623E8FB65828E9D577A916
;false;29.05.2026 10:00;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,29166667;29.05.2026 17:00;09.04.2026 10:02:14;false;09.04.2026 10:02:14;false;;;Übung;D-E.9-10;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;EE2947F760EE3AB7A882FB1CCE4F2FA7
;false;05.06.2026 10:00;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,29166667;05.06.2026 17:00;09.04.2026 10:02:14;false;09.04.2026 10:02:14;false;;;;D-E.9-10;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;CBBD7F935FAA32DD8D15D4C9FE2C259D
;false;12.06.2026 10:00;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,29166667;12.06.2026 17:00;09.04.2026 10:02:14;false;09.04.2026 10:02:14;false;;;Übung;D-E.9-10;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;8447D530A2FC3060BFB658B13F114AA6
;false;19.06.2026 10:00;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,29166667;19.06.2026 17:00;09.04.2026 10:02:14;false;09.04.2026 10:02:14;false;;;;D-E.9-10;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;D496923418DD3D4A92E883C1F125FD49
;false;26.06.2026 10:00;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,29166667;26.06.2026 17:00;09.04.2026 10:02:14;false;09.04.2026 10:02:14;false;;;Übung;D-E.9-10;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;5AC0F372CCF539378CB9D3F61F184403
;false;10.07.2026 10:00;false;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;0,29166667;10.07.2026 17:00;09.04.2026 10:16:48;false;09.04.2026 10:16:48;false;;;;D-E.9-10;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;The hacker mindset: Practical offensive and defensive IT-security in high-risk environments;;1D62689719593F849D79735A8E644540
